slug,title,film_sim,pc1,pc2
my-fujifilm-x-t30-color-negative-film-simulation-recipe,Color Negative,PRO Neg,1.2678624127407379,0.8561473156509489
pro-neg-fujifilm-x-t3-x-t30-x-trans-iii-film-simulation-recipe,Pro Neg,PRO Neg,0.9835005758849439,2.554965846800251
my-fujifilm-x-t30-provia-film-simulation-recipe-fujichrome-sensia-100,Fujichrome Sensia 100,Provia,0.710668746388641,-1.0695900620245737
a-different-approach-7-new-fujicolor-pro-160ns-film-simulation-recipes-yes-7,Fujicolor Pro 160NS,PRO Neg,-0.4398073660328969,-0.08252688382896048
7-new-fujicolor-pro-400h-film-simulation-recipes,Fujicolor Pro 400H,PRO Neg,-0.7441291446148236,-0.4698265548123814
my-fujifilm-x-t30-fujicolor-pro-400h-overexposed-film-simulation-recipe,Fujicolor Pro 400H Overexposed,Provia,0.8124580308395939,-0.5453005302402949
not-my-fujifilm-x-t30-warm-contrast-film-simulation-recipe,“Warm Contrast”,PRO Neg,1.2851911604409008,-0.19682169167206587
fujifilm-x-trans-iii-x-t3-x-t30-film-simulation-recipe-porto-200,Porto 200,PRO Neg,0.8248394703153162,0.03148027425895503
my-fujifilm-bleach-bypass-film-simulation-recipe,“Bleach Bypass”,Classic Chrome,1.596595601358233,1.229397922977429
fujifilm-x-trans-iii-x-t30-x-t3-film-simulation-recipe-eterna-bleach-bypass,“Eterna Bleach Bypass”,PRO Neg,0.22314974222297684,-1.925539643251501
fujifilm-x-trans-iii-x-t30-x-t3-film-simulation-recipe-chrome-bypass,Chrome Bypass,PRO Neg,0.3423734065729701,0.6437564535685586
my-fujifilm-x-t30-kodacolor-film-simulation-recipe,Kodacolor,Classic Chrome,0.13005217329071214,0.025079805597844618
fujifilm-x-trans-iii-x-t3-x-t30-film-simulation-recipe-kodacolor-vr,Kodacolor VR,Classic Chrome,0.5052886840083717,-0.8622381641379474
fujifilm-x-trans-iii-x-t3-x-t30-film-simulation-recipe-vintage-kodacolor,Vintage Kodacolor,Classic Chrome,0.5768927271153372,3.2143467438267126
my-fujifilm-x-t30-kodacolor-ii-126-film-simulation-recipe,Kodacolor II 126,Classic Chrome,-1.1487419649555575,1.288334397744707
fujifilm-x-t30-x-t3-x-trans-iii-film-simulation-recipe-classic-kodak,Classic Kodak,Classic Chrome,-0.2213536283251083,0.5272333977651147
