slug,title,film_sim,x,y
not-my-fujifilm-x-t30-warm-contrast-film-simulation-recipe,“Warm Contrast”,PRO Neg,-11.463035,3.410905
fujifilm-x-trans-iii-x-t3-x-t30-film-simulation-recipe-porto-200,Porto 200,PRO Neg,-11.794537,3.2079103
my-fujifilm-bleach-bypass-film-simulation-recipe,“Bleach Bypass”,Classic Chrome,7.135123,6.759691
fujifilm-x-trans-iii-x-t30-x-t3-film-simulation-recipe-eterna-bleach-bypass,“Eterna Bleach Bypass”,PRO Neg,-11.449202,3.2122493
fujifilm-x-trans-iii-x-t30-x-t3-film-simulation-recipe-chrome-bypass,Chrome Bypass,PRO Neg,-11.405932,3.231977
my-fujifilm-x-t30-kodacolor-film-simulation-recipe,Kodacolor,Classic Chrome,7.3044825,6.0396185
fujifilm-x-trans-iii-x-t3-x-t30-film-simulation-recipe-kodacolor-vr,Kodacolor VR,Classic Chrome,6.6520743,5.9005575
fujifilm-x-trans-iii-x-t3-x-t30-film-simulation-recipe-vintage-kodacolor,Vintage Kodacolor,Classic Chrome,7.289435,5.9257298
my-fujifilm-x-t30-kodacolor-ii-126-film-simulation-recipe,Kodacolor II 126,Classic Chrome,6.19788,7.338876
fujifilm-x-t30-x-t3-x-trans-iii-film-simulation-recipe-classic-kodak,Classic Kodak,Classic Chrome,7.1741986,6.2448373
my-fujifilm-x-t30-classic-slide-film-simulation-recipe,Classic Slide,Classic Chrome,7.077849,5.9241877
not-my-fujifilm-x-urban-vintage-chrome-film-simulation-recipe,Urban Vintage Chrome,Classic Chrome,7.045048,5.968348
my-fujifilm-x-t30-fujicolor-100-industrial-film-simulation-recipe,Fujicolor 100 Industrial,PRO Neg,-11.410066,3.4898975
my-fujifilm-x-t30-lomography-color-100-film-simulation-setting,Lomography Color 100,Velvia,6.2909636,0.37511253
my-fujifilm-x-t30-velvia-film-simulation-recipe,Velvia,Velvia,6.1542244,0.40676612
fujifilm-x-t30-x-trans-iv-film-simulation-recipe-velvia-v2,Velvia v2,Velvia,6.258004,0.4840201
my-fujifilm-x-t30-redscale-film-simulation-recipe,Redscale,Astia,5.9876204,5.5462527
my-fujifilm-x-t30-cross-process-film-simulation-recipe,Cross Process,Classic Chrome,6.9214773,5.8556037
xpro-fujifilm-x-trans-iii-x-t3-x-t30-film-simulation-recipe,XPro,Classic Chrome,6.6188045,6.0622015
my-fujifilm-x-t30-acros-film-simulation-recipe-agfa-apx-400,Agfa APX 400,Acros,15.601102,14.680397
my-fujifilm-x-t30-monochrome-kodachrome-film-simulation-recipe,Monochrome Kodachrome,Acros,15.55186,14.63207
my-fujifilm-x-t30-ilford-hp5-plus-400-push-process-film-simulation-recipe,Ilford HP5 Push Process,Acros,15.666054,14.746367
not-my-fujifilm-x-t30-ilford-delta-push-process-film-simulation-recipe,Ilford Delta Push Process,Monochrome,9.64749,1.2857752
my-fujifilm-x-t30-dramatic-monochrome-film-simulation-recipe,Dramatic Monochrome,Monochrome,9.833209,1.1032165
my-fujifilm-x-t30-faded-monochrome-film-simulation-recipe,Faded Monochrome,Acros,15.885703,14.965859
my-fujifilm-x-t30-split-toned-bw-film-simulation-recipe,Split-Toned B&W,Acros,15.630399,14.710041
my-fujifilm-x-t30-cyanotype-film-simulation-recipe,Cyanotype,Acros,15.802954,14.883192
fujifilm-x100v-film-simulation-recipe-verano-tostado,Verano Tostado,Classic Chrome,7.32932,7.228257
